_RAJ2000	_DEJ2000	RAJ2000	DEJ2000	SrcIDgaia	RAgaia	e_RAgaia	DEgaia	e_DEgaia	Org	Nu	EPucac	pmRA	e_pmRA	pmDE	e_pmDE	Gmag	f.mag	Rmag	Jmag	Hmag	Kmag
265.174895128	-53.705495446	265.1748936	-53.7054908	5921745155038327936	265.1749103	11.6	-53.7055422	12.6	2	2	1998.520	2.2	6.3	-11.3	8.9	15.873	16.582	30.000	14.500	14.217	14.173
265.175255378	-53.699508988	265.1752517	-53.6995011	5921745155038524416	265.1752928	14.3	-53.6995892	15.5	2	7	1998.521	5.3	2.4	-19.2	2.4	14.420	14.855	30.000	12.945	12.496	12.451
265.175376944	-53.700621010	265.1753775	-53.7006136	5921745155038328448	265.1753714	11.5	-53.7006958	12.4	2	1	1998.518	-0.8	7.3	-18.0	7.0	15.683	16.335	30.000	14.583	14.307	14.262
265.177187884	-53.701016205	265.1771892	-53.7010119	5921745155038329088	265.1771747	10.6	-53.7010600	11.4	2	3	1998.524	-1.9	5.4	-10.5	5.4	16.514	16.926	30.000	15.489	15.111	14.980
265.177317828	-53.699597582	265.1773206	-53.6995911	5921745155038330112	265.1772892	10.7	-53.6996633	12.9	3	2	1998.523	-4.0	10.5	-15.8	8.0	16.994	17.296				
265.177473593	-53.703254248	265.1774797	-53.7032494	5921745159327381120	265.1774114	15.4	-53.7033033	16.6	3	0	1998.521	-8.8	11.9	-11.8	24.1	17.097	17.500				
265.179127798	-53.703519447	265.1791314	-53.7035003	5921745155038330496	265.1790914	11.1	-53.7037142	12.0	2	3	1998.524	-5.2	4.1	-46.7	4.2	16.026	15.876	30.000	14.845	14.708	14.666
265.180091319	-53.713985976	265.1800900	-53.7139778	5921745124967546752	265.1801044	15.4	-53.7140692	16.6	2	9	1998.521	1.9	1.5	-19.9	1.6	14.244	14.693	30.000	12.788	12.349	12.285
265.181004633	-53.711389969	265.1809794	-53.7114008	5921745155038331136	265.1812608	10.6	-53.7112800	11.5	3	1	1998.523	36.4	12.4	26.4	12.1	17.825	17.096				
265.181011149	-53.711438669	265.1809794	-53.7114008	5921745159327296000	265.1813336	22.3	-53.7118231	19.9	2	1	1998.523	45.8	12.4	-92.3	12.2	16.496	17.096	30.000	15.282	14.978	15.102
265.182120240	-53.713581739	265.1821131	-53.7135778	5921745124967539328	265.1821925	15.4	-53.7136217	16.6	2	1	1998.523	10.3	10.1	-9.6	9.5	16.206	16.841	30.000	15.179	14.980	13.708
265.182563736	-53.707929287	265.1825786	-53.7079172	5921745159327315712	265.1824131	15.4	-53.7080517	16.6	3	3	1998.520	-21.4	3.9	-29.4	4.0	16.143	15.310				
265.184178751	-53.712919846	265.1841856	-53.7129300	5921745159327272832	265.1841086	33.5	-53.7128164	31.6	3	1	1998.526	-9.9	6.8	24.8	5.0	18.911	15.525				
265.184743970	-53.708141697	265.1847353	-53.7081286	5921745155038332800	265.1848317	10.6	-53.7082744	11.5	2	2	1998.522	12.5	7.8	-31.9	8.2	16.345	16.739	30.000	15.458	15.288	14.964
265.185846041	-53.707380201	265.1858450	-53.7073703	5921745159327304320	265.1858567	15.4	-53.7074806	16.6	3	3	1998.521	1.5	6.8	-24.1	6.9	16.272	17.015				
265.186662504	-53.709722528	265.1866553	-53.7097181	5921745159327282048	265.1867358	15.4	-53.7097672	16.6	2	2	1998.524	10.4	5.1	-10.8	5.2	16.695	16.233	12.220	15.078	14.790	14.772
265.187710819	-53.711946322	265.1877050	-53.7119364	5921745159327261440	265.1877700	15.4	-53.7120472	16.6	2	3	1998.524	8.4	4.3	-24.2	4.2	16.001	16.479	16.020	14.820	14.673	14.577
265.188007494	-53.706170489	265.1880068	-53.7061656	5921745155038334080	265.1880142	12.8	-53.7062200	15.4	2	5	1998.521	1.0	2.8	-11.9	2.8	15.262	15.674	30.000	13.778	13.439	13.301
265.188279491	-53.713771829	265.1882856	-53.7137692	5921745159327242752	265.1882172	15.4	-53.7137983	16.6	3	2	1998.521	-8.8	7.0	-6.4	6.8	16.216	16.032				
265.194239928	-53.711526995	265.1942375	-53.7115194	5921745086318862592	265.1942647	1.0	-53.7116042	2.5	2	7	1998.522	3.5	0.9	-18.5	0.9	12.176	12.525	9.710	10.604	10.120	9.930
265.163942080	-53.690713356	265.1639197	-53.6907239	5921745258117725056	265.1641692	11.1	-53.6906064	13.3	2	2	1998.523	32.3	5.5	25.7	5.7	16.400	15.414	30.000	14.917	14.731	14.689
265.164267114	-53.686109329	265.1642642	-53.6861014	5921745258117725696	265.1642964	0.3	-53.6861897	0.4	2	3	1998.521	4.2	1.6	-19.3	1.6	11.290	11.635	30.000	9.637	9.083	8.936
265.165751007	-53.680274209	265.1657100	-53.6802633	5921745296766611072	265.1661664	15.4	-53.6803847	16.6	2	2	1998.518	59.0	7.1	-26.5	6.7	15.003	15.005	30.000	13.468	13.175	13.066
265.166238323	-53.677669090	265.1662343	-53.6776619	5921745292477466624	265.1662794	0.4	-53.6777419	0.5	2	4	1998.521	5.8	1.7	-17.5	1.7	12.608	13.106	30.000	11.066	10.605	10.489
265.166434152	-53.670861841	265.1664286	-53.6708544	5921745292477466880	265.1664908	21.7	-53.6709372	23.2	2	3	1998.520	8.0	3.4	-18.1	3.5	13.184	13.992	30.000	12.776	12.753	12.728
265.167110047	-53.679585492	265.1671122	-53.6795764	5921745296766616832	265.1670881	19.0	-53.6796775	17.3	3	2	1998.519	-3.1	8.2	-22.1	8.7	14.953	15.386				
