_RAJ2000	_DEJ2000	RA_ICRS	e_RA_ICRS	DE_ICRS	e_DE_ICRS	Source	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	Dup	FG	e_FG	Gmag	e_Gmag	FBP	e_FBP	BPmag	e_BPmag	FRP	e_FRP	RPmag	e_RPmag	BP-RP	RV	e_RV	Teff	AG	E(BP-RP)	Rad	Lum
265.2275220129926	-53.6954311183641	265.22754326810	0.2327	-53.69550480707	0.2054	5921745021902880384	0.1131	0.2311	2.923	0.427	-17.115	0.422	0	8.9042e+02	2.1508e+00	18.3144	0.0026	5.6874e+02	1.5138e+01	18.4641	0.0289	8.3882e+02	1.7648e+01	17.4527	0.0228	1.0113							
265.2243365657677	-53.6941073908083	265.22433656577	3.0216	-53.69410739081	4.7761	5921745021902880640							0	1.4115e+02	1.7395e+00	20.3142	0.0134																
265.2243682391327	-53.6988225175631	265.22439529679	0.3244	-53.69889631512	0.2984	5921745021902904704	1.3858	0.2811	3.721	0.498	-17.140	0.478	0	1.1608e+03	5.1709e+00	18.0265	0.0048	9.1990e+02	6.6331e+01	17.9420	0.0783	1.2112e+03	8.6688e+01	17.0539	0.0777	0.8882							
265.2224807545548	-53.6931878307200	265.22251763735	0.2110	-53.69325691948	0.2014	5921745021902877824	0.7213	0.2012	5.072	0.648	-16.046	0.435	0	1.2524e+03	3.2106e+00	17.9440	0.0028																
265.2212475854150	-53.6971205412931	265.22127496650	0.0448	-53.69719554680	0.0435	5921745021908384768	0.3055	0.0429	3.765	0.081	-17.421	0.074	0	7.3067e+05	4.7145e+02	11.0291	0.0007	2.9217e+05	4.2469e+02	11.6873	0.0016	6.3171e+05	3.7999e+02	10.2606	0.0007	1.4267	19.99	0.11	4813.50			27.18	357.231
265.2286428573638	-53.6960845784551	265.22866841324	0.3445	-53.69616266085	0.2824	5921745021902881536	-0.3900	0.3176	3.514	0.530	-18.135	0.478	0	6.1601e+02	2.7776e+00	18.7144	0.0049																
265.2226824697780	-53.7000207750573	265.22270734324	0.0366	-53.70009481935	0.0364	5921745021908380544	0.2846	0.0376	3.420	0.066	-17.197	0.062	0	6.3725e+04	3.0339e+01	13.6776	0.0005	4.4453e+04	1.9499e+02	13.7316	0.0048	3.1816e+04	4.7952e+01	13.5053	0.0016	0.2263			9162.75	0.7430	0.3710		
265.2290041892987	-53.6970013810544	265.22900418930	0.7196	-53.69700138105	0.8402	5921745021902882560							0	9.0603e+02	2.9181e+00	18.2955	0.0035																
265.2196778412098	-53.7039632571378	265.21971694946	0.5049	-53.70403399544	0.4345	5921745021908378496	-0.2107	0.4425	5.377	1.003	-16.430	0.780	0	4.2628e+02	2.4267e+00	19.1141	0.0062	3.2981e+02	2.4936e+01	19.0557	0.0821	5.2832e+02	2.0692e+01	17.9547	0.0425	1.1011							
265.2208926967862	-53.7012211135268	265.22090791889	0.1140	-53.70128878849	0.1438	5921745021888231296	0.1818	0.1567	2.093	0.218	-15.718	0.244	0	6.1206e+03	2.7068e+01	16.2214	0.0048																
265.2200653618553	-53.7013575802611	265.22008803278	0.0298	-53.70143236063	0.0313	5921745017599397376	0.4157	0.0326	3.117	0.059	-17.368	0.056	0	3.1893e+04	1.2178e+01	14.4291	0.0004	1.5452e+04	8.2245e+01	14.8789	0.0058	2.6169e+04	2.1926e+02	13.7174	0.0091	1.1615			4918.83			3.94	8.197
265.2248528653479	-53.6947846699764	265.22487856282	0.1675	-53.69485893147	0.1971	5921745021909594752	0.4698	0.1071	3.534	0.300	-17.248	0.330	0	4.2943e+03	4.6455e+00	16.6061	0.0012	2.5160e+03	3.0447e+01	16.8496	0.0131	3.2386e+03	4.7614e+01	15.9860	0.0160	0.8636			5575.00	0.1860	0.0910		
265.2259193213605	-53.6967937048913	265.22594399258	0.2899	-53.69687335280	0.2478	5921745021888237696	0.4157	0.3032	3.393	0.662	-18.499	0.526	0	6.0952e+02	2.3775e+00	18.7259	0.0042																
265.2224231547898	-53.6986704210704	265.22244929819	0.1349	-53.69874816193	0.1352	5921745021888240896	0.4020	0.1448	3.595	0.273	-18.056	0.245	0	1.6720e+03	7.8866e+00	17.6303	0.0051	1.3233e+03	8.3842e+01	17.5472	0.0688	1.9156e+03	1.2553e+02	16.5561	0.0711	0.9911							
265.2224950895611	-53.7006183220618	265.22251981765	0.2004	-53.70069685025	0.1962	5921745021888227456	0.0908	0.2118	3.400	0.400	-18.239	0.351	0	1.2728e+03	3.5137e+00	17.9264	0.0030																
265.2244096181400	-53.6968726764804	265.22442602329	0.2918	-53.69694798253	0.3175	5921745021888243840	1.0758	0.2833	2.256	0.602	-17.490	0.580	0	1.8693e+03	5.9435e+00	17.5092	0.0035	1.2821e+03	3.2473e+01	17.5815	0.0275	1.9022e+03	6.9710e+01	16.5638	0.0398	1.0178							
265.2263341634113	-53.6983546048817	265.22633416341	0.6774	-53.69835460488	0.6870	5921745021888225792							0	6.5987e+02	7.9584e+00	18.6397	0.0131	6.6366e+02	2.2997e+01	18.2965	0.0376	1.0202e+03	2.2934e+01	17.2402	0.0244	1.0564							
265.1873219082544	-53.7096360316304	265.18734293055	0.1802	-53.70971463374	0.1911	5921745159327282176	0.0017	0.2402	2.890	0.316	-18.256	0.372	0	1.3991e+03	4.3681e+00	17.8238	0.0034																
265.1830065427789	-53.7034126703724	265.18302735561	0.3316	-53.70348524867	0.4483	5921745159327349504	0.6098	0.5677	2.862	0.457	-16.857	0.620	0	1.1723e+03	7.3651e+00	18.0157	0.0068																
265.1925429210258	-53.7061695363252	265.19255984818	0.4226	-53.70624363669	0.6374	5921745090607805056	0.1279	0.7280	2.327	1.207	-17.210	1.285	0	5.1564e+02	2.2001e+00	18.9075	0.0046	4.4852e+02	4.3614e+01	18.7219	0.1056	5.0656e+02	1.2866e+01	18.0003	0.0276	0.7216							
265.1723857703186	-53.7107405060879	265.17241229840	0.5056	-53.71081662457	0.3430	5921745124967608960	-0.3972	0.4314	3.647	0.601	-17.679	0.560	0	5.2410e+02	2.5448e+00	18.8898	0.0053																
